"Boxer H-ID",Cathegory,Weight,Weight_kgs,"Family name","Given name(s)","Job Affiliation",Age,City,Gender,"Source year",Source,"Club Affiliation H-ID","Club Affiliation RecordTitle"
370,Amateur,,,Droguet,Segundo,"Compañia Chilena de Electricidad",,,Male,1925,AF0014517,334,"Centro Deportivo Medidores"
371,Amateur,,,Ulloa,Domingo,"Compañia Chilena de Electricidad",,,Male,1925,AF0014517,334,"Centro Deportivo Medidores"
372,Amateur,,,Flores,Chico,"Compañia Chilena de Electricidad",8,,Male,1925,AF0014517,334,"Centro Deportivo Medidores"
373,Amateur,,,Flores,"Luis C","Compañia Chilena de Electricidad",,Santiago,Male,1925,AF0014517,334,"Centro Deportivo Medidores"
374,Amateur,minimal,,Azerman,Jacobo,"Compañia Chilena de Electricidad",8,,,1925,AF0014517,334,"Centro Deportivo Medidores"
375,Amateur,,,Varas,Ramon,"Compañia Chilena de Electricidad",,,Male,1925,AF0014517,334,"Centro Deportivo Medidores"
376,Amateur,,,Avila,Fernando,"Compañia Chilena de Electricidad",,,Male,1925,AF0014517,334,"Centro Deportivo Medidores"
377,Boxer,,,Belmar,"Luis II","Compañia Chilena de Electricidad",,,Male,1925,AF0014517,334,"Centro Deportivo Medidores"
378,Amateur,,,Gonzalez,Gilberto,"Compañia Chilena de Electricidad",,Santiago,Male,1925,AF0014517,334,"Centro Deportivo Medidores"
379,Amateur,minimum,,Belmar,Segundo,"Compañia Chilena de Electricidad",8,,,1925,AF0014517,334,"Centro Deportivo Medidores"
380,Amateur,,,Gallardo,Manuel,"Compañia Chilena de Electricidad",,Santiago,Male,1925,AF0014517,334,"Centro Deportivo Medidores"
381,Amateur,,,Narvaez,Luis,"Compañia Chilena de Electricidad",,Santiago,Male,1925,AF0014517,334,"Centro Deportivo Medidores"
382,Amateur,,,Vera,Miguel,"Compañia Chilena de Electricidad",,,,1925,AF0014517,334,"Centro Deportivo Medidores"
383,Amateur,,,Carter,German,"Compañia Chilena de Electricidad",,Santiago,Male,1925,AF0014517,334,"Centro Deportivo Medidores"
384,Amateur,,,Mackowel,David,"Compañia Chilena de Electricidad",,Santiago,Male,1925,AF0014517,334,"Centro Deportivo Medidores"
385,Amateur,,,Barrios,Delicio,"Compañia Chilena de Electricidad",,Santiago,Male,1925,AF0014517,334,"Centro Deportivo Medidores"
386,Amateur,,,Caceres,"Juan Luis","Compañia Chilena de Electricidad",,Santiago,,1925,AF0014517,334,"Centro Deportivo Medidores"
387,Amateur,,,Varas,Marcial,"Compañia Chilena de Electricidad",,,Male,1925,AF0014517,334,"Centro Deportivo Medidores"
392,Amateur,,,Marré,Luis,,,Arica,,1924-02-22,"Los Sports",,
394,Amateur,,37,Eyzaguirre,Luis,,,arica,Male,1924-02-22,"Los Sports",,
396,Amateur,,37,Chiessa,Armando,,,,Male,1924-02-22,"Los Sports",,
397,Amateur,,49,Ramos,Arturo,,,arica,,1924-02-22,"Los Sports",,
398,Amateur,,49,Cornejo,Isidora,,,,,1924-02-22,"Los Sports",,
399,Amateur,,55,Luna,Victor,,,Arica,Male,1924-02-22,"Los Sports",,
400,Amateur,,55,Pérez,Jorge,,,Arica,Male,1924-02-22,"Los Sports",,
403,Amateur,,,Larenas,Jorge,"Ejercito de Chile",,,Male,1924-02-22,"Los Sports",,
408,Amateur,,,Quijada,José,"Asociacion Ferroviaria Tercera Zona",,,Male,1924-02-22,"Los Sports",270,"Centro de Box Asociación Deportiva Ferroviaria de la tercera zona."
409,Amateur,,,Lopez,Jorge,"Asociacion Ferroviaria Tercera Zona",,Concepcion,Male,1924-02-22,"Los Sports",270,"Centro de Box Asociación Deportiva Ferroviaria de la tercera zona."
410,Amateur,,,Rojas,Fernando,,,,Male,1924-02-22,"Los Sports",270,"Centro de Box Asociación Deportiva Ferroviaria de la tercera zona."
411,Amateur,,,Ramirez,José,"Asociacion Ferroviaria Tercera Zona",,Concepcion,Male,1924-02-22,"Los Sports",270,"Centro de Box Asociación Deportiva Ferroviaria de la tercera zona."
412,Professional,gallo,55,Ramirez,Francisco,"Asociacion Ferroviaria Tercera Zona",,Concepcion,Male,1924-02-22,"Los Sports",270,"Centro de Box Asociación Deportiva Ferroviaria de la tercera zona."
414,Amateur,,,Sanhueza,Oscar,"Asociacion Ferroviaria Tercera Zona",,Concepcion,Male,1924-02-22,"Los Sports",270,"Centro de Box Asociación Deportiva Ferroviaria de la tercera zona."
420,Professional,,,Murray,Willie,,,"New Jersey",Male,1924-03-14,"Los Sports",,
